start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked
3/6/25,00:00:00,3/6/25,01:00:00,0,0
3/6/25,01:00:00,3/6/25,02:00:00,0,0
3/6/25,02:00:00,3/6/25,03:00:00,0,0
3/6/25,03:00:00,3/6/25,04:00:00,0,0
3/6/25,04:00:00,3/6/25,05:00:00,0,0
3/6/25,05:00:00,3/6/25,06:00:00,0,0
3/6/25,06:00:00,3/6/25,07:00:00,0,0
3/6/25,07:00:00,3/6/25,08:00:00,0,0
3/6/25,08:00:00,3/6/25,09:00:00,0,0
3/6/25,09:00:00,3/6/25,10:00:00,0,0
3/6/25,10:00:00,3/6/25,11:00:00,0,0
3/6/25,11:00:00,3/6/25,12:00:00,0,0
3/6/25,12:00:00,3/6/25,13:00:00,0,0
3/6/25,13:00:00,3/6/25,14:00:00,0,0
3/6/25,14:00:00,3/6/25,15:00:00,0,0
3/6/25,15:00:00,3/6/25,16:00:00,0,0
3/6/25,16:00:00,3/6/25,17:00:00,0,0
3/6/25,17:00:00,3/6/25,18:00:00,0,0
3/6/25,18:00:00,3/6/25,19:00:00,0,0
3/6/25,19:00:00,3/6/25,20:00:00,0,1
3/6/25,20:00:00,3/6/25,21:00:00,0,9
3/6/25,21:00:00,3/6/25,22:00:00,0,8
3/6/25,22:00:00,3/6/25,23:00:00,0,6
3/6/25,23:00:00,3/6/25,24:00:00,135,15
3/7/25,00:00:00,3/7/25,01:00:00,0,9
3/7/25,01:00:00,3/7/25,02:00:00,0,18
3/7/25,02:00:00,3/7/25,03:00:00,0,7
3/7/25,03:00:00,3/7/25,04:00:00,0,16
3/7/25,04:00:00,3/7/25,05:00:00,0,4
3/7/25,05:00:00,3/7/25,06:00:00,0,3
3/7/25,06:00:00,3/7/25,07:00:00,0,1
3/7/25,07:00:00,3/7/25,08:00:00,0,5
3/7/25,08:00:00,3/7/25,09:00:00,0,1
3/7/25,09:00:00,3/7/25,10:00:00,0,12
3/7/25,10:00:00,3/7/25,11:00:00,0,15
3/7/25,11:00:00,3/7/25,12:00:00,0,8
3/7/25,12:00:00,3/7/25,13:00:00,0,8
3/7/25,13:00:00,3/7/25,14:00:00,0,1
3/7/25,14:00:00,3/7/25,15:00:00,0,16
3/7/25,15:00:00,3/7/25,16:00:00,0,6
3/7/25,16:00:00,3/7/25,17:00:00,0,12
3/7/25,17:00:00,3/7/25,18:00:00,0,19
3/7/25,18:00:00,3/7/25,19:00:00,0,2
3/7/25,19:00:00,3/7/25,20:00:00,0,3
3/7/25,20:00:00,3/7/25,21:00:00,0,2
3/7/25,21:00:00,3/7/25,22:00:00,0,6
3/7/25,22:00:00,3/7/25,23:00:00,0,11
3/7/25,23:00:00,3/7/25,24:00:00,570,28
3/8/25,00:00:00,3/8/25,01:00:00,0,4
3/8/25,01:00:00,3/8/25,02:00:00,0,2
