start_date,start_time,end_date,end_time,sum,num_true_positives_pitchtracked
2/16/25,05:00:00,2/16/25,06:00:00,0,0
2/16/25,06:00:00,2/16/25,07:00:00,0,2
2/16/25,07:00:00,2/16/25,08:00:00,0,1
2/16/25,08:00:00,2/16/25,09:00:00,0,2
2/16/25,09:00:00,2/16/25,10:00:00,0,0
2/16/25,10:00:00,2/16/25,11:00:00,0,2
2/16/25,11:00:00,2/16/25,12:00:00,0,3
2/16/25,12:00:00,2/16/25,13:00:00,0,2
2/16/25,13:00:00,2/16/25,14:00:00,0,0
2/16/25,14:00:00,2/16/25,15:00:00,0,1
2/16/25,15:00:00,2/16/25,16:00:00,0,6
2/16/25,16:00:00,2/16/25,17:00:00,0,8
2/16/25,17:00:00,2/16/25,18:00:00,0,0
2/16/25,18:00:00,2/16/25,19:00:00,0,0
2/16/25,19:00:00,2/16/25,20:00:00,0,5
2/16/25,20:00:00,2/16/25,21:00:00,0,8
2/16/25,21:00:00,2/16/25,22:00:00,0,1
2/16/25,22:00:00,2/16/25,23:00:00,0,5
2/16/25,23:00:00,2/16/25,24:00:00,261,0
2/17/25,00:00:00,2/17/25,01:00:00,0,6
2/17/25,01:00:00,2/17/25,02:00:00,0,1
2/17/25,02:00:00,2/17/25,03:00:00,0,0
2/17/25,03:00:00,2/17/25,04:00:00,0,0
2/17/25,04:00:00,2/17/25,05:00:00,0,8
2/17/25,05:00:00,2/17/25,06:00:00,0,2
2/17/25,06:00:00,2/17/25,07:00:00,0,1
2/17/25,07:00:00,2/17/25,08:00:00,0,0
2/17/25,08:00:00,2/17/25,09:00:00,0,0
2/17/25,09:00:00,2/17/25,10:00:00,0,22
2/17/25,10:00:00,2/17/25,11:00:00,0,31
2/17/25,11:00:00,2/17/25,12:00:00,0,44
2/17/25,12:00:00,2/17/25,13:00:00,0,2
2/17/25,13:00:00,2/17/25,14:00:00,0,2
2/17/25,14:00:00,2/17/25,15:00:00,0,10
2/17/25,15:00:00,2/17/25,16:00:00,0,4
2/17/25,16:00:00,2/17/25,17:00:00,0,6
2/17/25,17:00:00,2/17/25,18:00:00,0,16
2/17/25,18:00:00,2/17/25,19:00:00,0,17
2/17/25,19:00:00,2/17/25,20:00:00,0,31
2/17/25,20:00:00,2/17/25,21:00:00,0,34
2/17/25,21:00:00,2/17/25,22:00:00,0,23
2/17/25,22:00:00,2/17/25,23:00:00,0,23
2/17/25,23:00:00,2/17/25,24:00:00,589,19
2/18/25,00:00:00,2/18/25,01:00:00,0,27
2/18/25,01:00:00,2/18/25,02:00:00,0,13
2/18/25,02:00:00,2/18/25,03:00:00,0,4
2/18/25,03:00:00,2/18/25,04:00:00,0,4
2/18/25,04:00:00,2/18/25,05:00:00,0,5
2/18/25,05:00:00,2/18/25,06:00:00,0,6
2/18/25,06:00:00,2/18/25,07:00:00,0,6
2/18/25,07:00:00,2/18/25,08:00:00,0,12
2/18/25,08:00:00,2/18/25,09:00:00,0,0
2/18/25,09:00:00,2/18/25,10:00:00,0,0
2/18/25,10:00:00,2/18/25,11:00:00,0,3
2/18/25,11:00:00,2/18/25,12:00:00,0,14
2/18/25,12:00:00,2/18/25,13:00:00,0,10
2/18/25,13:00:00,2/18/25,14:00:00,0,0
2/18/25,14:00:00,2/18/25,15:00:00,0,3
2/18/25,15:00:00,2/18/25,16:00:00,0,2
2/18/25,16:00:00,2/18/25,17:00:00,0,0
2/18/25,17:00:00,2/18/25,18:00:00,0,1
2/18/25,18:00:00,2/18/25,19:00:00,0,3
2/18/25,19:00:00,2/18/25,20:00:00,0,9
2/18/25,20:00:00,2/18/25,21:00:00,0,6
2/18/25,21:00:00,2/18/25,22:00:00,0,13
2/18/25,22:00:00,2/18/25,23:00:00,0,6
2/18/25,23:00:00,2/18/25,24:00:00,436,0
2/19/25,00:00:00,2/19/25,01:00:00,0,0
2/19/25,01:00:00,2/19/25,02:00:00,0,4
2/19/25,02:00:00,2/19/25,03:00:00,0,9
2/19/25,03:00:00,2/19/25,04:00:00,0,8
2/19/25,04:00:00,2/19/25,05:00:00,0,2
2/19/25,05:00:00,2/19/25,06:00:00,0,5
2/19/25,06:00:00,2/19/25,07:00:00,0,10
2/19/25,07:00:00,2/19/25,08:00:00,0,15
2/19/25,08:00:00,2/19/25,09:00:00,0,1
2/19/25,09:00:00,2/19/25,10:00:00,0,1
2/19/25,10:00:00,2/19/25,11:00:00,0,10
2/19/25,11:00:00,2/19/25,12:00:00,0,9
2/19/25,12:00:00,2/19/25,13:00:00,0,4
2/19/25,13:00:00,2/19/25,14:00:00,0,11
2/19/25,14:00:00,2/19/25,15:00:00,0,7
2/19/25,15:00:00,2/19/25,16:00:00,0,10
2/19/25,16:00:00,2/19/25,17:00:00,0,8
2/19/25,17:00:00,2/19/25,18:00:00,0,9
2/19/25,18:00:00,2/19/25,19:00:00,0,15
2/19/25,19:00:00,2/19/25,20:00:00,0,14
2/19/25,20:00:00,2/19/25,21:00:00,0,17
2/19/25,21:00:00,2/19/25,22:00:00,0,16
2/19/25,22:00:00,2/19/25,23:00:00,0,20
2/19/25,23:00:00,2/19/25,24:00:00,537,9
2/20/25,00:00:00,2/20/25,01:00:00,0,0
2/20/25,01:00:00,2/20/25,02:00:00,0,0
2/20/25,02:00:00,2/20/25,03:00:00,0,2
2/20/25,03:00:00,2/20/25,04:00:00,0,1
2/20/25,04:00:00,2/20/25,05:00:00,0,5
2/20/25,05:00:00,2/20/25,06:00:00,0,0
2/20/25,06:00:00,2/20/25,07:00:00,0,8
2/20/25,07:00:00,2/20/25,08:00:00,0,20
2/20/25,08:00:00,2/20/25,09:00:00,0,9
2/20/25,09:00:00,2/20/25,10:00:00,0,16
2/20/25,10:00:00,2/20/25,11:00:00,0,18
2/20/25,11:00:00,2/20/25,12:00:00,0,13
2/20/25,12:00:00,2/20/25,13:00:00,0,13
2/20/25,13:00:00,2/20/25,14:00:00,0,15
2/20/25,14:00:00,2/20/25,15:00:00,0,18
2/20/25,15:00:00,2/20/25,16:00:00,0,8
2/20/25,16:00:00,2/20/25,17:00:00,0,19
2/20/25,17:00:00,2/20/25,18:00:00,0,16
2/20/25,18:00:00,2/20/25,19:00:00,0,11
2/20/25,19:00:00,2/20/25,20:00:00,0,11
2/20/25,20:00:00,2/20/25,21:00:00,0,22
2/20/25,21:00:00,2/20/25,22:00:00,0,22
2/20/25,22:00:00,2/20/25,23:00:00,0,14
2/20/25,23:00:00,2/20/25,24:00:00,489,2
2/21/25,00:00:00,2/21/25,01:00:00,0,3
2/21/25,01:00:00,2/21/25,02:00:00,0,0
2/21/25,02:00:00,2/21/25,03:00:00,0,2
2/21/25,03:00:00,2/21/25,04:00:00,0,2
2/21/25,04:00:00,2/21/25,05:00:00,0,0
2/21/25,05:00:00,2/21/25,06:00:00,0,3
2/21/25,06:00:00,2/21/25,07:00:00,0,1
2/21/25,07:00:00,2/21/25,08:00:00,0,2
2/21/25,08:00:00,2/21/25,09:00:00,0,5
2/21/25,09:00:00,2/21/25,10:00:00,0,4
2/21/25,10:00:00,2/21/25,11:00:00,0,12
2/21/25,11:00:00,2/21/25,12:00:00,0,4
2/21/25,12:00:00,2/21/25,13:00:00,0,0
2/21/25,13:00:00,2/21/25,14:00:00,0,0
2/21/25,14:00:00,2/21/25,15:00:00,0,2
2/21/25,15:00:00,2/21/25,16:00:00,0,1
