start_date,start_time,end_date,end_time,sum,Manual_Review,num_true_positives_pitchtracked
2/15/25,21:00:00,2/15/25,22:00:00,13,0,0
2/15/25,22:00:00,2/15/25,23:00:00,6,0,0
2/15/25,23:00:00,2/15/25,24:00:00,7,0,0
2/16/25,00:00:00,2/16/25,01:00:00,8,1,3
2/16/25,01:00:00,2/16/25,02:00:00,9,1,0
2/16/25,02:00:00,2/16/25,03:00:00,5,1,0
2/16/25,03:00:00,2/16/25,04:00:00,13,1,0
2/16/25,04:00:00,2/16/25,05:00:00,6,2,0
2/16/25,05:00:00,2/16/25,06:00:00,2,0,0
2/16/25,06:00:00,2/16/25,07:00:00,7,1,0
2/16/25,07:00:00,2/16/25,08:00:00,1,0,0
2/16/25,08:00:00,2/16/25,09:00:00,14,0,0
2/16/25,09:00:00,2/16/25,10:00:00,7,1,0
2/16/25,10:00:00,2/16/25,11:00:00,13,2,0
2/16/25,11:00:00,2/16/25,12:00:00,2,0,0
2/16/25,12:00:00,2/16/25,13:00:00,7,0,0
2/16/25,13:00:00,2/16/25,14:00:00,0,0,0
2/16/25,14:00:00,2/16/25,15:00:00,6,1,1
2/16/25,15:00:00,2/16/25,16:00:00,5,0,0
2/16/25,16:00:00,2/16/25,17:00:00,2,0,0
2/16/25,17:00:00,2/16/25,18:00:00,6,0,0
2/16/25,18:00:00,2/16/25,19:00:00,4,2,0
2/16/25,19:00:00,2/16/25,20:00:00,9,2,0
2/16/25,20:00:00,2/16/25,21:00:00,5,1,0
2/16/25,21:00:00,2/16/25,22:00:00,27,2,0
2/16/25,22:00:00,2/16/25,23:00:00,3,0,0
2/16/25,23:00:00,2/16/25,24:00:00,12,0,0
2/17/25,00:00:00,2/17/25,01:00:00,4,0,0
2/17/25,01:00:00,2/17/25,02:00:00,18,0,0
2/17/25,02:00:00,2/17/25,03:00:00,7,1,0
2/17/25,03:00:00,2/17/25,04:00:00,14,0,0
2/17/25,04:00:00,2/17/25,05:00:00,4,0,0
2/17/25,05:00:00,2/17/25,06:00:00,7,1,5
2/17/25,06:00:00,2/17/25,07:00:00,4,2,0
2/17/25,07:00:00,2/17/25,08:00:00,5,0,0
2/17/25,08:00:00,2/17/25,09:00:00,13,1,0
2/17/25,09:00:00,2/17/25,10:00:00,9,0,0
2/17/25,10:00:00,2/17/25,11:00:00,23,1,0
2/17/25,11:00:00,2/17/25,12:00:00,9,0,0
2/17/25,12:00:00,2/17/25,13:00:00,7,0,0
2/17/25,13:00:00,2/17/25,14:00:00,7,2,0
2/17/25,14:00:00,2/17/25,15:00:00,9,1,0
2/17/25,15:00:00,2/17/25,16:00:00,3,0,0
2/17/25,16:00:00,2/17/25,17:00:00,11,1,0
2/17/25,17:00:00,2/17/25,18:00:00,8,1,0
2/17/25,18:00:00,2/17/25,19:00:00,7,1,0
2/17/25,19:00:00,2/17/25,20:00:00,4,0,0
2/17/25,20:00:00,2/17/25,21:00:00,8,2,0
2/17/25,21:00:00,2/17/25,22:00:00,11,0,0
2/17/25,22:00:00,2/17/25,23:00:00,4,0,0
2/17/25,23:00:00,2/17/25,24:00:00,13,0,0
2/18/25,00:00:00,2/18/25,01:00:00,9,0,0
2/18/25,01:00:00,2/18/25,02:00:00,7,0,0
2/18/25,02:00:00,2/18/25,03:00:00,1,0,0
2/18/25,03:00:00,2/18/25,04:00:00,10,0,0
2/18/25,04:00:00,2/18/25,05:00:00,2,0,0
2/18/25,05:00:00,2/18/25,06:00:00,8,0,0
2/18/25,06:00:00,2/18/25,07:00:00,14,0,0
2/18/25,07:00:00,2/18/25,08:00:00,3,0,0
2/18/25,08:00:00,2/18/25,09:00:00,13,0,0
2/18/25,09:00:00,2/18/25,10:00:00,6,0,0
2/18/25,10:00:00,2/18/25,11:00:00,13,0,0
2/18/25,11:00:00,2/18/25,12:00:00,11,1,0
2/18/25,12:00:00,2/18/25,13:00:00,19,0,0
2/18/25,13:00:00,2/18/25,14:00:00,1,2,0
2/18/25,14:00:00,2/18/25,15:00:00,15,0,0
